clade_membership,frequency,projected_frequency,n_strains,observed_frequency,future_n_strains,forecast_error,absolute_forecast_error,sample,timepoint,future_timepoint,delta_month,delay_type
A.6.8.5,0.07922399999999999,0.051115511848187946,21,0.449878,111,0.39876248815181203,0.39876248815181203,h3n2_realistic_delay,2011-04-01,2011-07-01,3.0,realistic
A.6.8.5.1,0.040081,0.030328018150968847,12,0.040708,18,0.010379981849031154,0.010379981849031154,h3n2_realistic_delay,2011-04-01,2011-07-01,3.0,realistic
A.6.8.5.2,0.031120999999999996,0.0146506269153351,3,0.409132,92,0.3944813730846649,0.3944813730846649,h3n2_realistic_delay,2011-04-01,2011-07-01,3.0,realistic
A.6.8.5.2.4,0.019096,0.0091384364893986,2,0.106787,29,0.0976485635106014,0.0976485635106014,h3n2_realistic_delay,2011-04-01,2011-07-01,3.0,realistic
A.6,0.999977,0.99999999999997,692,0.99992,608,-7.999999996999296e-05,7.999999996999296e-05,h3n2_no_delay,2011-04-01,2011-10-01,6.0,none
A.6.6,0.198316,0.1696150992041074,121,0.0054670000000000005,31,-0.1641480992041074,0.1641480992041074,h3n2_no_delay,2011-04-01,2011-10-01,6.0,none
A.6.6.2,0.016104,0.008218822406323052,12,4.5e-05,1,-0.008173822406323052,0.008173822406323052,h3n2_no_delay,2011-04-01,2011-10-01,6.0,none
A.6.6.2.1,0.013058,0.007049437657882053,10,4.5e-05,1,-0.007004437657882053,0.007004437657882053,h3n2_no_delay,2011-04-01,2011-10-01,6.0,none
A.6.6.3,0.179877,0.16101542294693832,107,0.005207000000000001,29,-0.15580842294693834,0.15580842294693834,h3n2_no_delay,2011-04-01,2011-10-01,6.0,none
A.6.6.3.2,0.051543,0.034374137680114235,20,0.004342,11,-0.030032137680114236,0.030032137680114236,h3n2_no_delay,2011-04-01,2011-10-01,6.0,none
A.6.6.3.3,0.12293899999999999,0.12480873386438802,79,0.000865,18,-0.12394373386438802,0.12394373386438802,h3n2_no_delay,2011-04-01,2011-10-01,6.0,none
A.6.8,0.800419,0.8299267029751456,569,0.994453,577,0.16452629702485444,0.16452629702485444,h3n2_no_delay,2011-04-01,2011-10-01,6.0,none
A.6.8.1,0.054747,0.028742269001071387,64,0.017352,11,-0.011390269001071388,0.011390269001071388,h3n2_no_delay,2011-04-01,2011-10-01,6.0,none
A.6.8.2,0.010187000000000002,0.003537593416471523,10,0.0,0,-0.003537593416471523,0.003537593416471523,h3n2_no_delay,2011-04-01,2011-10-01,6.0,none
A.6.8.3,0.049305,0.027899119362282898,25,0.000567,8,-0.027332119362282897,0.027332119362282897,h3n2_no_delay,2011-04-01,2011-10-01,6.0,none
A.6.8.4,0.547959,0.6889844623865851,372,0.36706400000000006,249,-0.321920462386585,0.321920462386585,h3n2_no_delay,2011-04-01,2011-10-01,6.0,none
A.6.8.4.1,0.031899,0.033060595337323403,13,0.002283,13,-0.030777595337323403,0.030777595337323403,h3n2_no_delay,2011-04-01,2011-10-01,6.0,none
A.6.8.4.2,0.048501,0.0497441399948753,19,0.006259000000000001,6,-0.0434851399948753,0.0434851399948753,h3n2_no_delay,2011-04-01,2011-10-01,6.0,none
A.6.8.4.3,0.027544,0.0266601823688675,18,0.00017900000000000001,5,-0.0264811823688675,0.0264811823688675,h3n2_no_delay,2011-04-01,2011-10-01,6.0,none
A.6.8.4.5,0.00031999999999999997,0.00011433572845505628,10,0.0,0,-0.00011433572845505628,0.00011433572845505628,h3n2_no_delay,2011-04-01,2011-10-01,6.0,none
A.6.8.4.6,0.035975,0.0479195492478859,12,0.024595000000000002,27,-0.023324549247885896,0.023324549247885896,h3n2_no_delay,2011-04-01,2011-10-01,6.0,none
A.6.8.4.6.2,0.00902,0.010957396205954501,2,0.004039,9,-0.006918396205954501,0.006918396205954501,h3n2_no_delay,2011-04-01,2011-10-01,6.0,none
A.6.8.4.7,0.104066,0.12629010961174325,96,0.149647,103,0.02335689038825675,0.02335689038825675,h3n2_no_delay,2011-04-01,2011-10-01,6.0,none
A.6.8.5,0.057654000000000004,0.025600394178202132,36,0.60774,300,0.5821396058217978,0.5821396058217978,h3n2_no_delay,2011-04-01,2011-10-01,6.0,none
A.6.8.5.1,0.025517,0.015856964713461156,18,0.033077,19,0.017220035286538846,0.017220035286538846,h3n2_no_delay,2011-04-01,2011-10-01,6.0,none
A.6.8.5.2,0.029646,0.008348007024258199,10,0.5746629999999999,281,0.5663149929757417,0.5663149929757417,h3n2_no_delay,2011-04-01,2011-10-01,6.0,none
A.6.8.5.2.4,0.018524,0.005532107098060299,6,0.205086,93,0.1995538929019397,0.1995538929019397,h3n2_no_delay,2011-04-01,2011-10-01,6.0,none
A.6.8.5.2.4.1,0.001953,0.0003147110420732,1,0.137568,47,0.1372532889579268,0.1372532889579268,h3n2_no_delay,2011-04-01,2011-10-01,6.0,none
A.6,0.999978,0.9999999999999727,630,0.99992,608,-7.99999999726575e-05,7.99999999726575e-05,h3n2_ideal_delay,2011-04-01,2011-10-01,6.0,ideal
A.6.6,0.147174,0.11442497335885057,98,0.0054670000000000005,31,-0.10895797335885057,0.10895797335885057,h3n2_ideal_delay,2011-04-01,2011-10-01,6.0,ideal
A.6.6.2,0.014262,0.007609141688199373,10,4.5e-05,1,-0.007564141688199373,0.007564141688199373,h3n2_ideal_delay,2011-04-01,2011-10-01,6.0,ideal
A.6.6.2.1,0.00997,0.005813313531647873,8,4.5e-05,1,-0.005768313531647873,0.005768313531647873,h3n2_ideal_delay,2011-04-01,2011-10-01,6.0,ideal
